round,LCB,P_i,UCB,S_i
1,6.05,17.01,38.92,8.2175
2,11.61,27.29,55.7,11.0225
3,22.74,40.24,62,9.815
4,26,50.88,78.92,13.23
5,36.3,60.16,91.19,13.7225
6,47.82,70.52,97.68,12.465
7,40.44,80.83,109.52,17.27
8,47.09,92.77,114.75,16.915
9,48.85,95.64,108.91,15.015

